Lat,Lon,Boya,Pixel
37.710417,-0.778383,0.414,0.07943333437045415
37.718,-0.839783,0.6773,0.08694444431198968
37.694517,-0.8104,0.452,0.08405555619133843
37.666817,-0.809683,0.5787,0.09642222275336583
37.659833,-0.781967,0.5945,0.08852222230699328
37.6518,-0.728883,0.5976,0.08906666686137517
37.68735,-0.783783,0.4883,0.08284444361925125
37.8118,-0.784483,0.4078,0.01976666682296329
37.760617,-0.8078,0.2242,0.017400000244379044
37.761783,-0.78355,0.5185,0.016999999889069133
37.748233,-0.749617,0.4291,0.017400000244379044
37.74045,-0.727117,0.49,0.01647777793308099
37.710417,-0.778383,0.1727,0.016411111172702577
37.718,-0.839783,0.2319,0.01761111141079002
37.694517,-0.8104,0.3465,0.01706666685640812
37.666817,-0.809683,0.1184,0.017533333351214726
37.659833,-0.781967,0.3546,0.016155555637346372
37.6518,-0.728883,0.407,0.01561111118644476
37.68735,-0.783783,0.5772,0.016544444900419977
37.8118,-0.784483,1.0901,0.06955555495288637
37.760617,-0.8078,3.1395,0.06324444380071428
37.761783,-0.78355,2.3981,0.05731111144026121
37.748233,-0.749617,1.2203,0.055655556006564036
37.74045,-0.727117,0.275,0.060100000351667404
37.710417,-0.778383,3.0083,0.056688889033264585
37.718,-0.839783,4.4914,0.06405555539660984
37.694517,-0.8104,3.9547,0.16375555429193708
37.666817,-0.809683,4.0504,0.0654111115468873
37.659833,-0.781967,3.2087,0.0633444454934862
37.6518,-0.728883,1.8089,0.06321111114488707
37.68735,-0.783783,3.1727,0.06003333297040728
37.8118,-0.784483,0.592,0.018933333249555692
37.760617,-0.8078,0.6949,0.01720000058412552
37.761783,-0.78355,0.5961,0.01617777782181899
37.748233,-0.749617,0.4189,0.0175333335581753
37.74045,-0.727117,0.215,0.01632222222785155
37.710417,-0.778383,0.3213,0.015144444381197294
37.718,-0.839783,0.5982,0.0167888891365793
37.694517,-0.8104,0.4286,0.019188888784911897
37.666817,-0.809683,0.3998,0.01771111103395621
37.659833,-0.781967,0.3193,0.016211111305488482
37.6518,-0.728883,0.247,0.015866666618320677
37.68735,-0.783783,0.3207,0.015488888861404525
37.8118,-0.784483,0.5488,0.04114444429675738
37.760617,-0.8078,0.5796,0.021100000374846987
37.761783,-0.78355,0.8339,0.025466666453414492
37.748233,-0.749617,0.9213,0.06878888938162062
37.74045,-0.727117,1.085,0.07016666730244954
37.710417,-0.778383,1.2034,0.038977777378426656
37.718,-0.839783,1.4184,0.04837777838110924
37.694517,-0.8104,1.686,0.060100000351667404
37.666817,-0.809683,1.8337,0.02210000033179919
37.659833,-0.781967,1.561,0.02548888884484768
37.6518,-0.728883,0.4611,0.03891111123892996
37.68735,-0.783783,1.8445,0.05265555572178629
37.8118,-0.784483,0.1939,0.08210000064637926
37.760617,-0.8078,0.224,0.0837111117111312
37.761783,-0.78355,0.2098,0.08354444470670488
37.748233,-0.749617,0.1827,0.08603333350684908
37.74045,-0.727117,0.17,0.08508888880411784
37.710417,-0.778383,0.2546,0.07210000107685725
37.718,-0.839783,0.2555,0.07038888914717568
37.694517,-0.8104,0.2812,0.07324444337023629
37.666817,-0.809683,0.4948,0.07278888838158713
37.659833,-0.781967,0.5816,0.06785555597808626
37.6518,-0.728883,0.3994,0.0808666671315829
37.68735,-0.783783,0.3736,0.07707777702146107
37.8118,-0.784483,0.2716,0.04356666612956259
37.760617,-0.8078,0.4676,0.06294444410337342
37.761783,-0.78355,0.1566,0.03748888894915581
37.748233,-0.749617,0.3676,0.0387000006934007
37.74045,-0.727117,0.37,0.03838888928294182
37.710417,-0.778383,0.409,0.032244444721274905
37.718,-0.839783,0.3016,0.037377777612871595
37.694517,-0.8104,0.4096,0.033511111305819616
37.666817,-0.809683,0.13,0.037977777835395604
37.659833,-0.781967,0.6654,0.039788889388243355
37.6518,-0.728883,0.3731,0.04732222275601493
37.68735,-0.783783,0.6138,0.035711110879977546
37.8118,-0.784483,0.3444,0.07883333249224557
37.760617,-0.8078,0.2308,0.07415555500321919
37.761783,-0.78355,0.3324,0.07366666611697939
37.748233,-0.749617,0.6433,0.07576666606797113
37.74045,-0.727117,0.525,0.08113333168956968
37.710417,-0.778383,0.9667,0.06812222136391534
37.718,-0.839783,0.2976,0.0654777768585417
37.694517,-0.8104,0.7369,0.07249999956952201
37.666817,-0.809683,0.1337,0.06348888907167646
37.659833,-0.781967,0.5954,0.07461111164755291
37.6518,-0.728883,0.6023,0.07091111110316382
37.68735,-0.783783,0.9072,0.07615555491712359
37.8118,-0.784483,0.3467,0.01714444450206227
37.760617,-0.8078,0.3056,0.017033333372738626
37.761783,-0.78355,0.2714,0.01613333345287376
37.748233,-0.749617,0.1907,0.016155555430385802
37.74045,-0.727117,0.11,0.015466666780412197
37.710417,-0.778383,0.1859,0.015744444810681872
37.718,-0.839783,0.2827,0.018011111145218212
37.694517,-0.8104,0.2116,0.016388888988229964
37.666817,-0.809683,0.1739,0.017855555439988773
37.659833,-0.781967,0.1284,0.01640000008046627
37.6518,-0.728883,0.0443,0.015144444588157866
37.68735,-0.783783,0.1632,0.017011111188266013
37.8118,-0.784483,0.5227,0.039855555113818913
37.760617,-0.8078,0.432,0.03596666703621546
37.761783,-0.78355,0.4284,0.031311110903819404
37.748233,-0.749617,0.3749,0.03133333350221316
37.74045,-0.727117,0.11,0.031433333539300494
37.710417,-0.778383,0.2623,0.03141111135482788
37.718,-0.839783,0.4821,0.03837777839766608
37.694517,-0.8104,0.2642,0.032966666751437716
37.666817,-0.809683,0.3221,0.03986666724085808
37.659833,-0.781967,0.3226,0.03517777845263481
37.6518,-0.728883,0.3285,0.03474444440669484
37.68735,-0.783783,0.2577,0.0322777782049444
37.8118,-0.784483,0.5644,0.03743333286709256
37.760617,-0.8078,0.4079,0.06658888939354154
37.761783,-0.78355,0.4446,0.03316666682561239
37.748233,-0.749617,0.3627,0.027733333822753694
37.74045,-0.727117,0.31,0.04339999995297856
37.710417,-0.778383,0.4019,0.1161444452073839
37.718,-0.839783,0.3325,0.07502222143941456
37.694517,-0.8104,0.5209,0.03900000039074156
37.666817,-0.809683,0.092,0.04168888885113928
37.659833,-0.781967,0.4952,0.045344444612661995
37.6518,-0.728883,0.5495,0.13137777811951107
37.68735,-0.783783,0.5229,0.03997777857714229
37.74045,-0.727117,0.275,0.019499999574489064
37.8118,-0.784483,0.3571,0.022000000087751284
37.760617,-0.8078,2.3043,0.022900000007616148
37.761783,-0.78355,2.5614,0.022111111010114353
37.748233,-0.749617,2.5976,0.022988888952467177
37.74045,-0.727117,0.53,0.022077777940366004
37.710417,-0.778383,2.7288,0.027122222301032808
37.718,-0.839783,1.8432,0.02696666680276394
37.694517,-0.8104,1.7005,0.02672222215268347
37.666817,-0.809683,0.7968,0.03135555506580406
37.659833,-0.781967,1.8748,0.02850000001490116
37.6518,-0.728883,1.0035,0.02528888877067301
37.68735,-0.783783,2.278,0.028755555343296792
37.8118,-0.784483,0.6576,0.022000000087751284
