Date,0m
2024-05-14 22:42:00,5.857
2024-05-14 23:02:00,4.587
2024-05-14 23:07:00,4.495
2024-05-14 23:12:00,4.377
2024-05-14 23:17:00,4.11
2024-05-14 23:22:00,3.65
2024-05-14 23:27:00,3.61
2024-05-14 23:32:00,3.482
2024-05-14 23:37:00,2.923
2024-05-14 23:42:00,2.888
2024-05-15 00:02:00,2.075
2024-05-15 00:07:00,1.817
2024-05-15 00:12:00,1.672
2024-05-15 00:17:00,1.847
2024-05-15 00:22:00,2.063
2024-05-15 00:27:00,2.393
2024-05-15 00:32:00,2.95
2024-05-15 00:37:00,3.572
2024-05-15 00:42:00,4.56
2024-05-15 01:02:00,4.962
2024-05-15 01:07:00,4.808
2024-05-15 01:12:00,4.777
2024-05-15 01:17:00,4.825
2024-05-15 01:22:00,4.845
2024-05-15 01:27:00,5.283
2024-05-15 01:32:00,5.295
2024-05-15 01:37:00,4.867
2024-05-15 01:42:00,5.045
2024-05-15 02:02:00,5.663
2024-05-15 02:07:00,6.068
2024-05-15 02:12:00,6.263
2024-05-15 02:17:00,6.273
2024-05-15 02:22:00,5.69
2024-05-15 02:27:00,5.755
2024-05-15 02:32:00,5.735
2024-05-15 02:37:00,5.743
2024-05-15 02:42:00,5.567
2024-05-15 03:02:00,6.075
2024-05-15 03:07:00,5.443
2024-05-15 03:12:00,5.23
2024-05-15 03:17:00,6.158
2024-05-15 03:22:00,6.632
2024-05-15 03:27:00,6.812
2024-05-15 03:32:00,7.91
2024-05-15 03:37:00,7.342
2024-05-15 03:42:00,7.312
2024-05-15 04:02:00,9.87
2024-05-15 04:07:00,9.08
2024-05-15 04:12:00,8.82
2024-05-15 04:17:00,9.77
2024-05-15 04:22:00,8.75
2024-05-15 04:27:00,8.12
2024-05-15 04:32:00,7.485
2024-05-15 04:37:00,7.155
2024-05-15 04:42:00,6.747
2024-05-15 05:02:00,6.988
2024-05-15 05:07:00,6.505
2024-05-15 05:12:00,6.22
2024-05-15 05:17:00,5.617
2024-05-15 05:22:00,5.888
2024-05-15 05:27:00,5.148
2024-05-15 05:32:00,4.035
2024-05-15 05:37:00,3.635
2024-05-15 05:42:00,3.423
2024-05-15 06:02:00,3.513
2024-05-15 06:07:00,2.768
2024-05-15 06:12:00,2.523
2024-05-15 06:17:00,3.055
2024-05-15 06:22:00,2.87
2024-05-15 06:27:00,2.695
2024-05-15 06:32:00,3.15
2024-05-15 06:37:00,2.895
2024-05-15 06:42:00,2.788
2024-05-15 07:02:00,3.663
2024-05-15 07:07:00,3.16
2024-05-15 07:12:00,2.873
2024-05-15 07:17:00,2.817
2024-05-15 07:22:00,2.963
2024-05-15 07:27:00,2.633
2024-05-15 07:32:00,2.663
2024-05-15 07:37:00,2.42
2024-05-15 07:42:00,2.23
