Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,Turbidez,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-09-08,CTD10,4170388,695646,0.0077017127,0.012617674,0.02679436,0.014950604,0.012349784,0.0035755902,16.795,5.045,-0.36,41.933,-0.085,12.367,0.011,-1.719,0.284,-29.566,0.369,-43.652,0.095,-14.086,0.627,0.518,0.331,0.153,-0.046,-0.026,-0.373,-0.365,-0.551,-0.653,-0.178,-0.377,-0.519,-0.06,0.006,0.474,0.524,0.066,-0.74,-0.355,-1.326,0.383,-0.771,0.464,0.913,1.298,0.813,0.985,0.724,-0.421,0.699,0.938
2016-09-08,CTD11,4169609,700351,0.006426361,0.010511612,0.02213191,0.011925478,0.009648435,0.0027496135,12.41,5.805,-0.356,49.949,-0.063,11.279,0.043,-8.511,0.3,-38.67,0.393,-58.46,0.106,-19.79,0.596,0.482,0.25,0.109,-0.188,-0.101,-0.406,-0.373,-0.615,-0.697,-0.208,-0.438,-0.539,-0.044,0.025,0.506,0.556,0.07,-0.761,-0.334,-1.412,0.445,-0.766,0.551,0.869,1.296,0.938,1.159,0.699,-0.379,0.687,0.933
2016-09-08,CTD12,4173438,695414,0.0060377293,0.009908035,0.020680958,0.010425083,0.008273284,0.0023186756,13.02,4.13,-0.352,52.575,-0.025,5.006,0.09,-19.943,0.33,-47.569,0.429,-72.517,0.115,-24.948,0.548,0.435,0.104,0.041,-0.412,-0.208,-0.471,-0.394,-0.719,-0.756,-0.247,-0.516,-0.576,-0.018,0.053,0.564,0.61,0.07,-0.781,-0.315,-1.549,0.55,-0.786,0.694,0.827,1.294,1.149,1.448,0.652,-0.331,0.665,0.931
2017-06-30,CTD1,4187246,695025,0.014523258,0.025521787,0.045328837,0.011921803,0.00827046,0.002013044,1.154,3.9975,-0.28,17.121,0.363,-44.698,0.511,-81.73,0.584,-61.819,0.691,-98.851,0.181,-37.032,0.204,0.142,-2.026,-0.37,-3.705,-0.974,-1.578,-0.511,-2.523,-1.178,-0.945,-1.679,-0.981,0.254,0.301,0.989,0.99,0.052,-0.878,-0.131,-3.34,1.958,-0.716,2.823,0.335,1.082,3.478,5.014,0.285,-0.061,0.528,0.936
2017-06-30,CTD2,4181518,693105,0.0085799005,0.016636256,0.032547217,0.008101268,0.005708777,0.0014228729,0.777,1.6685,-0.324,29.385,0.345,-63.328,0.489,-115.059,0.601,-92.713,0.702,-144.444,0.173,-51.731,0.238,0.168,-2.061,-0.362,-3.745,-0.932,-1.542,-0.529,-2.403,-1.17,-0.861,-1.684,-1.152,0.223,0.269,1.094,1.085,0.049,-0.908,-0.194,-3.648,1.878,-1.103,2.665,0.537,1.252,3.674,5.214,0.312,-0.094,0.503,0.941
2017-06-30,CTD3,4181698,695238,0.0076171234,0.013878576,0.022867503,0.005104838,0.0035313766,0.0008864235,1.2515,1.2595,-0.245,28.323,0.462,-123.839,0.594,-211.122,0.635,-152.162,0.732,-239.446,0.182,-87.283,0.145,0.1,-2.832,-0.437,-4.828,-1.078,-2.112,-0.537,-3.323,-1.222,-1.211,-1.996,-1.041,0.332,0.37,1.02,1.019,0.043,-0.839,-0.085,-3.757,2.564,-0.549,3.707,0.202,0.956,4.225,6.108,0.213,-0.031,0.517,0.944
2017-06-30,CTD4,4180266,698264,0.00784293,0.015099678,0.030502472,0.008403415,0.006037706,0.0015309941,1.234,1.7815,-0.338,33.442,0.285,-52.773,0.429,-99.399,0.568,-86.215,0.67,-132.842,0.164,-46.627,0.281,0.202,-1.61,-0.319,-3.032,-0.835,-1.302,-0.521,-2.006,-1.116,-0.704,-1.422,-1.067,0.183,0.233,1.045,1.041,0.052,-0.897,-0.223,-3.255,1.599,-1.129,2.225,0.628,1.302,3.23,4.495,0.359,-0.124,0.515,0.939
2017-06-30,CTD5,4179450,700268,0.016756805,0.028755415,0.03354033,0.0044917683,0.002859057,0.00070457533,0.3375,0.3025,-0.077,4.961,0.73,-187.853,0.819,-314.99,0.764,-192.815,0.843,-319.951,0.222,-127.136,0.022,0.014,-6.301,-0.537,-10.565,-1.415,-5.544,-0.551,-9.2,-1.437,-3.656,-4.264,-0.651,0.667,0.681,0.919,0.923,0.026,-0.714,0.221,-5.329,6.317,2.591,9.924,-0.405,0.53,7.368,11.575,0.071,0.034,0.534,0.957
2017-06-30,CTD6,4176009,695829,0.008956501,0.015999116,0.03183035,0.011412327,0.008562597,0.0022531727,1.4105,2.332,-0.331,31.087,0.167,-25.121,0.303,-54.284,0.472,-56.208,0.576,-85.37,0.143,-29.162,0.355,0.266,-0.8,-0.215,-1.728,-0.62,-0.899,-0.481,-1.366,-0.974,-0.467,-0.928,-0.793,0.114,0.172,0.831,0.849,0.06,-0.83,-0.248,-2.315,1.133,-0.921,1.51,0.657,1.239,2.254,3.004,0.444,-0.177,0.573,0.934
2017-06-30,CTD7,4176724,690397,0.012212999,0.0242479,0.046464965,0.010514631,0.007193146,0.0017277272,1.3625,3.7515,-0.314,19.719,0.395,-53.865,0.542,-97.781,0.631,-73.584,0.732,-117.5,0.188,-43.916,0.207,0.142,-2.503,-0.387,-4.543,-1.028,-1.784,-0.529,-2.849,-1.235,-1.065,-2.041,-1.255,0.256,0.299,1.143,1.13,0.047,-0.94,-0.162,-4.154,2.151,-1.048,3.145,0.454,1.232,4.122,6.026,0.279,-0.07,0.492,0.942
2017-06-30,CTD8,4174178,693048,0.008714141,0.016784508,0.034535922,0.01031975,0.007523558,0.001923736,0.843,2.0175,-0.346,30.623,0.239,-37.323,0.381,-73.337,0.54,-67.946,0.642,-103.96,0.157,-36.014,0.316,0.23,-1.289,-0.281,-2.533,-0.757,-1.14,-0.511,-1.745,-1.073,-0.604,-1.244,-0.995,0.154,0.206,0.996,0.997,0.054,-0.886,-0.243,-2.964,1.409,-1.116,1.932,0.686,1.329,2.898,3.976,0.397,-0.149,0.528,0.938
2017-06-30,CTD9,4171106,693183,0.014844753,0.027012492,0.05832146,0.0254675,0.021357035,0.006094192,,,-0.367,19.874,0.029,-2.246,0.117,-9.803,0.392,-22.119,0.464,-29.677,0.088,-7.557,0.506,0.424,-0.131,-0.048,-0.572,-0.25,-0.597,-0.472,-0.802,-0.756,-0.204,-0.441,-0.669,0.019,0.067,0.679,0.704,0.048,-0.729,-0.375,-1.67,0.694,-1.025,0.828,0.967,1.32,1.499,1.788,0.577,-0.354,0.615,0.951
2017-06-30,CTD10,4170388,695646,0.007459277,0.013963135,0.023242792,0.0050049485,0.0034555898,0.00086755096,0.769,1.686,-0.249,28.593,0.472,-128.185,0.603,-217.769,0.646,-156.778,0.741,-246.362,0.183,-89.584,0.143,0.099,-2.979,-0.443,-5.062,-1.09,-2.189,-0.542,-3.44,-1.233,-1.251,-2.082,-1.097,0.336,0.372,1.047,1.043,0.042,-0.848,-0.09,-3.936,2.641,-0.603,3.825,0.216,0.974,4.396,6.368,0.21,-0.032,0.51,0.945
2017-06-30,CTD11,4169609,700351,0.0062083784,0.011565782,0.02298733,0.0074100113,0.005433103,0.001416671,1.188,1.5045000000000002,-0.331,42.96,0.219,-48.491,0.361,-97.595,0.512,-91.45,0.618,-140.555,0.154,-49.104,0.318,0.233,-1.115,-0.263,-2.243,-0.723,-1.058,-0.497,-1.626,-1.042,-0.568,-1.129,-0.889,0.146,0.202,0.916,0.925,0.057,-0.861,-0.23,-2.67,1.324,-0.973,1.806,0.624,1.254,2.632,3.59,0.404,-0.147,0.549,0.935
