Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-09-08,CTD10,4170388,695646,0.007997258,0.012899798,0.027413853,0.016326621,0.012701652,0.0039966,0.0039799144,0.0015764722,,,-0.36,41.043,-0.117,16.271,0.008,-1.209,0.253,-24.772,0.367,-42.252,0.125,-17.48,0.67,0.521,0.446,0.207,-0.033,-0.02,-0.32,-0.315,-0.545,-0.69,-0.225,-0.479,-0.5,-0.085,0.005,0.433,0.503,0.09,-0.815,-0.307,-1.368,0.327,-0.663,0.42,0.84,1.347,0.694,0.893,0.802,-0.389,0.725,0.917
2016-09-08,CTD11,4169609,700351,0.00623437,0.010245188,0.021897234,0.012531611,0.009714669,0.0030141682,0.0030104576,0.0012063143,,,-0.363,51.939,-0.1,17.809,0.027,-5.33,0.272,-34.13,0.385,-57.269,0.127,-23.139,0.651,0.505,0.39,0.173,-0.117,-0.067,-0.35,-0.332,-0.587,-0.718,-0.237,-0.507,-0.524,-0.072,0.015,0.469,0.535,0.088,-0.822,-0.307,-1.436,0.374,-0.693,0.482,0.847,1.362,0.799,1.031,0.78,-0.376,0.709,0.918
2016-09-08,CTD12,4173438,695414,0.006784298,0.010533255,0.020969592,0.012143477,0.009175999,0.0028447933,0.0028296234,0.0011295978,,,-0.331,47.249,-0.071,12.589,0.069,-14.043,0.267,-34.661,0.391,-61.292,0.139,-26.631,0.574,0.434,0.264,0.116,-0.294,-0.171,-0.365,-0.318,-0.646,-0.744,-0.281,-0.558,-0.49,-0.053,0.041,0.448,0.52,0.094,-0.821,-0.253,-1.418,0.43,-0.579,0.569,0.667,1.235,0.856,1.132,0.715,-0.292,0.72,0.91
2017-06-30,CTD1,4187246,695025,0.013001307,0.02272808,0.041443713,0.011541264,0.007581408,0.0020489956,0.002013281,0.000796014,1.1285,3.878,-0.292,19.869,0.326,-42.647,0.5,-87.903,0.564,-62.517,0.691,-107.773,0.207,-45.256,0.229,0.151,-1.767,-0.323,-3.643,-1.015,-1.421,-0.474,-2.449,-1.244,-1.029,-1.876,-0.979,0.228,0.286,0.987,0.988,0.062,-0.974,-0.108,-3.497,1.786,-0.593,2.719,0.301,1.167,3.257,4.959,0.325,-0.055,0.534,0.925
2017-06-30,CTD2,4181518,693105,0.009040141,0.017061781,0.031254612,0.006735012,0.004254722,0.0011399037,0.0011176403,0.00044776828,1.1345,2.0585,-0.294,26.615,0.434,-89.867,0.601,-176.422,0.645,-116.483,0.76,-203.038,0.226,-86.555,0.179,0.113,-2.809,-0.382,-5.514,-1.188,-1.987,-0.496,-3.464,-1.367,-1.477,-2.705,-1.291,0.291,0.337,1.15,1.135,0.051,-1.037,-0.086,-4.813,2.397,-0.631,3.795,0.249,1.2,4.391,6.951,0.259,-0.034,0.493,0.935
2017-06-30,CTD3,4181698,695238,0.0075835697,0.013584243,0.023005998,0.0054059313,0.0034694881,0.000953778,0.0009364642,0.0003777826,1.7875,1.212,-0.257,30.148,0.431,-111.367,0.593,-214.612,0.619,-141.515,0.738,-244.76,0.218,-103.245,0.163,0.105,-2.562,-0.386,-4.937,-1.16,-1.922,-0.491,-3.325,-1.323,-1.403,-2.375,-1.062,0.309,0.356,1.032,1.029,0.053,-0.968,-0.051,-4.118,2.362,-0.34,3.68,0.135,1.052,4.0,6.233,0.247,-0.02,0.519,0.932
2017-06-30,CTD4,4180266,698264,0.00907478,0.016721314,0.028703239,0.006716879,0.004379786,0.0012045004,0.001184028,0.00047483333,1.9005,1.962,-0.264,24.965,0.427,-89.075,0.585,-168.518,0.621,-114.039,0.735,-193.482,0.211,-79.443,0.168,0.109,-2.557,-0.39,-4.837,-1.132,-1.907,-0.499,-3.235,-1.3,-1.328,-2.28,-1.08,0.302,0.348,1.042,1.038,0.051,-0.951,-0.069,-4.064,2.337,-0.455,3.584,0.183,1.065,4.011,6.152,0.249,-0.028,0.516,0.934
2017-06-30,CTD5,4179450,700268,0.014707059,0.025732707,0.03152797,0.0048873625,0.0029368028,0.00078173087,0.00076350884,0.0003072094,0.63,0.77,-0.101,7.143,0.681,-165.748,0.795,-301.645,0.732,-172.891,0.83,-308.788,0.249,-135.897,0.035,0.021,-5.226,-0.487,-9.51,-1.474,-4.449,-0.508,-7.946,-1.509,-3.497,-4.285,-0.741,0.605,0.626,0.929,0.934,0.034,-0.848,0.215,-5.47,5.172,2.311,8.607,-0.439,0.624,6.337,10.546,0.097,0.041,0.535,0.946
2017-06-30,CTD6,4176009,695829,0.007608714,0.014366672,0.027990112,0.0073707406,0.0049179825,0.001336192,0.0013147063,0.0005259095,2.2225,2.4805,-0.322,33.879,0.322,-66.066,0.49,-133.73,0.583,-99.945,0.701,-167.609,0.2,-67.664,0.25,0.167,-1.849,-0.325,-3.743,-0.986,-1.436,-0.492,-2.408,-1.235,-0.972,-1.894,-1.109,0.213,0.267,1.069,1.061,0.058,-0.985,-0.154,-3.742,1.773,-0.876,2.658,0.45,1.281,3.455,5.178,0.337,-0.079,0.513,0.931
2017-06-30,CTD7,4176724,690397,0.011686963,0.022875605,0.046262253,0.011007561,0.007160964,0.0019035863,0.0018718408,0.00073682674,1.9215,3.7215,-0.338,22.099,0.35,-47.132,0.523,-95.931,0.616,-69.231,0.732,-118.03,0.212,-48.799,0.243,0.158,-2.18,-0.338,-4.438,-1.056,-1.584,-0.496,-2.7,-1.299,-1.116,-2.258,-1.287,0.222,0.274,1.174,1.154,0.056,-1.043,-0.156,-4.382,1.923,-1.008,2.957,0.485,1.372,3.89,5.979,0.326,-0.075,0.49,0.933
