Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-09-08,CTD10,4170388,695646,0.007504058,0.012268942,0.026710074,0.015854351,0.012555249,0.004007522,0.0040075253,0.0015859455,,,-0.37,44.068,-0.127,18.432,-0.012,1.859,0.255,-25.635,0.36,-42.209,0.116,-16.574,0.699,0.553,0.492,0.231,0.05,0.029,-0.315,-0.322,-0.518,-0.669,-0.203,-0.443,-0.508,-0.091,-0.007,0.437,0.503,0.085,-0.803,-0.333,-1.354,0.304,-0.708,0.384,0.914,1.385,0.661,0.835,0.822,-0.43,0.721,0.922
2016-09-08,CTD11,4169609,700351,0.00623437,0.010245188,0.02196847,0.012497321,0.009629498,0.0030065414,0.0030104576,0.0012063143,,,-0.364,52.087,-0.099,17.59,0.031,-6.241,0.275,-34.497,0.39,-58.328,0.13,-23.83,0.651,0.502,0.386,0.169,-0.137,-0.078,-0.353,-0.332,-0.598,-0.729,-0.244,-0.524,-0.53,-0.071,0.018,0.477,0.543,0.089,-0.831,-0.304,-1.462,0.381,-0.694,0.495,0.846,1.374,0.818,1.062,0.781,-0.371,0.706,0.917
2016-09-08,CTD12,4173438,695414,0.00643777,0.0102973245,0.02078307,0.011512673,0.008957147,0.002846874,0.0028411835,0.0011528321,,,-0.337,48.997,-0.056,10.252,0.07,-14.53,0.287,-38.745,0.398,-63.527,0.125,-24.782,0.564,0.439,0.213,0.092,-0.302,-0.167,-0.399,-0.347,-0.654,-0.731,-0.255,-0.515,-0.512,-0.041,0.041,0.481,0.542,0.082,-0.79,-0.283,-1.426,0.463,-0.656,0.596,0.733,1.24,0.935,1.202,0.687,-0.316,0.702,0.921
2017-06-30,CTD1,4187246,695025,0.013339538,0.023212655,0.042712722,0.01201373,0.007833761,0.0020950427,0.0020504748,0.0008075028,1.1285,3.878,-0.296,19.668,0.318,-40.158,0.495,-84.573,0.561,-59.826,0.69,-104.24,0.211,-44.415,0.236,0.154,-1.715,-0.315,-3.612,-1.016,-1.389,-0.469,-2.42,-1.252,-1.031,-1.897,-0.982,0.222,0.281,0.989,0.99,0.063,-0.99,-0.109,-3.52,1.749,-0.592,2.682,0.306,1.188,3.218,4.935,0.334,-0.056,0.534,0.924
2017-06-30,CTD2,4181518,693105,0.008806001,0.016785333,0.03169969,0.0068516457,0.004382996,0.0011814818,0.001161019,0.00046577546,1.1325,2.043,-0.308,28.03,0.42,-86.375,0.586,-168.579,0.645,-114.404,0.757,-196.608,0.22,-82.204,0.192,0.123,-2.738,-0.379,-5.344,-1.155,-1.92,-0.501,-3.3,-1.347,-1.38,-2.606,-1.328,0.275,0.322,1.174,1.156,0.051,-1.034,-0.11,-4.783,2.312,-0.797,3.614,0.325,1.249,4.365,6.824,0.27,-0.045,0.488,0.936
2017-06-30,CTD3,4181698,695238,0.0076041366,0.0134643065,0.022691313,0.0051839952,0.0033727833,0.00093653484,0.0009222757,0.00037348844,1.77,1.14,-0.255,30.201,0.444,-118.631,0.599,-222.221,0.628,-148.832,0.741,-252.421,0.212,-103.59,0.157,0.102,-2.692,-0.4,-5.042,-1.152,-2.004,-0.502,-3.399,-1.309,-1.395,-2.351,-1.078,0.318,0.362,1.04,1.036,0.05,-0.944,-0.057,-4.13,2.449,-0.385,3.764,0.148,1.035,4.127,6.343,0.236,-0.022,0.516,0.935
2017-06-30,CTD4,4180266,698264,0.009925992,0.018201366,0.03007885,0.0063310643,0.0040277876,0.0010935294,0.0010749246,0.00043205227,1.857,1.9595,-0.246,21.695,0.484,-103.01,0.638,-193.334,0.652,-124.705,0.764,-215.029,0.222,-90.324,0.137,0.087,-3.098,-0.415,-5.815,-1.224,-2.27,-0.502,-3.914,-1.361,-1.644,-2.717,-1.147,0.348,0.389,1.068,1.062,0.048,-0.967,-0.031,-4.593,2.741,-0.232,4.308,0.081,1.016,4.53,7.12,0.214,-0.011,0.508,0.937
2017-06-30,CTD5,4179450,700268,0.014710961,0.026187712,0.03216669,0.0048873625,0.0029073067,0.00076944294,0.00075502606,0.0003042167,0.645,0.5675,-0.102,7.098,0.685,-166.423,0.8,-305.775,0.736,-173.521,0.834,-312.873,0.254,-139.352,0.035,0.021,-5.353,-0.484,-9.836,-1.494,-4.544,-0.504,-8.193,-1.529,-3.649,-4.482,-0.767,0.607,0.628,0.938,0.942,0.034,-0.867,0.219,-5.706,5.268,2.426,8.856,-0.453,0.633,6.471,10.877,0.096,0.041,0.533,0.947
2017-06-30,CTD6,4176009,695829,0.008350834,0.0153420335,0.029145684,0.007663406,0.004948375,0.001336192,0.0013147063,0.0005259095,2.1715,2.519,-0.31,30.87,0.334,-65.31,0.512,-136.906,0.584,-96.18,0.71,-167.776,0.215,-71.596,0.237,0.153,-1.904,-0.323,-3.99,-1.049,-1.476,-0.476,-2.574,-1.286,-1.098,-2.087,-1.095,0.225,0.282,1.059,1.052,0.061,-1.022,-0.119,-3.888,1.832,-0.703,2.837,0.351,1.254,3.481,5.39,0.33,-0.06,0.517,0.926
2017-06-30,CTD7,4176724,690397,0.011938552,0.02323562,0.04582306,0.010483822,0.0067203026,0.0017619024,0.0017289683,0.00068211084,1.8815,3.6885,-0.327,21.214,0.378,-52.348,0.551,-105.765,0.628,-73.562,0.744,-126.98,0.219,-53.418,0.222,0.143,-2.399,-0.352,-4.846,-1.109,-1.709,-0.494,-2.95,-1.331,-1.241,-2.448,-1.313,0.243,0.293,1.18,1.16,0.054,-1.053,-0.134,-4.602,2.07,-0.913,3.229,0.412,1.331,4.082,6.367,0.305,-0.06,0.488,0.933
