Date,Buoy,Chl,Turbidez
2017-09-06,CTD5,0.44,0.36
2017-09-06,CTD6,6.872,4.673
2017-09-06,CTD7,6.228,8.423
2017-09-06,CTD8,5.921,7.826
2017-09-06,CTD9,,
2017-09-11,CTD1,2.279,4.512
2017-09-11,CTD10,5.674,4.913
2017-09-11,CTD11,5.658,5.314
2017-09-11,CTD12,6.361,4.965
2017-09-11,CTD2,4.198,3.124
2017-09-11,CTD3,3.736,2.625
2017-09-11,CTD4,2.69,2.322
2017-09-11,CTD5,0.47,1.1
2017-09-11,CTD6,5.908,4.248
2017-09-11,CTD7,4.145,3.466
2017-09-11,CTD8,5.599,4.44
2017-09-11,CTD9,,
2017-09-20,CTD5,0.28,0.0
2017-09-27,CTD1,5.7,3.962
2017-09-27,CTD10,6.508,5.883
2017-09-27,CTD11,6.468,5.66
2017-09-27,CTD12,5.897,4.453
2017-09-27,CTD2,6.082,5.693
2017-09-27,CTD3,5.632,4.137
2017-09-27,CTD4,2.971,3.53
2017-09-27,CTD5,0.63,1.87
2017-09-27,CTD6,4.674,4.109
2017-09-27,CTD7,4.647,21.375
2017-09-27,CTD8,5.074,7.597
2017-09-27,CTD9,,
2017-10-04,CTD1,4.422,4.095
2017-10-04,CTD10,2.043,3.522
2017-10-04,CTD11,3.981,7.601
2017-10-04,CTD12,4.496,5.07
2017-10-04,CTD2,5.338,4.345
2017-10-04,CTD3,5.593,4.371
2017-10-04,CTD4,4.244,5.427
2017-10-04,CTD5,0.16,0.35
2017-10-04,CTD6,4.641,6.222
2017-10-04,CTD7,4.774,4.529
2017-10-04,CTD8,4.095,3.856
2017-10-04,CTD9,,
2017-10-11,CTD1,5.024,3.209
2017-10-11,CTD10,5.073,4.306
2017-10-11,CTD11,5.278,4.615
2017-10-11,CTD12,4.931,3.793
2017-10-11,CTD2,5.234,3.742
2017-10-11,CTD3,4.786,3.873
2017-10-11,CTD4,2.855,2.696
2017-10-11,CTD5,0.39,0.39
2017-10-11,CTD6,5.444,3.823
2017-10-11,CTD7,3.201,3.813
2017-10-11,CTD8,3.92,3.43
2017-10-11,CTD9,,
2017-10-17,CTD1,5.902,2.982
2017-10-17,CTD10,2.802,3.838
2017-10-17,CTD11,4.59,4.554
2017-10-17,CTD12,4.889,5.701
2017-10-17,CTD2,7.126,3.682
2017-10-17,CTD3,6.426,3.702
2017-10-17,CTD4,4.863,4.73
2017-10-17,CTD5,0.3,0.39
2017-10-17,CTD6,5.595,5.621
2017-10-17,CTD7,5.835,3.525
2017-10-17,CTD8,4.508,3.701
2017-10-17,CTD9,,
2017-10-25,CTD1,2.24,61.309
2017-10-25,CTD10,4.272,3.938
2017-10-25,CTD11,5.52,4.606
2017-10-25,CTD12,5.658,4.324
2017-10-25,CTD2,5.396,3.045
2017-10-25,CTD3,5.203,3.641
2017-10-25,CTD4,2.856,2.624
2017-10-25,CTD5,0.41,0.03
2017-10-25,CTD6,5.938,2.36
2017-10-25,CTD7,6.107,5.598
2017-10-25,CTD8,5.205,5.791
2017-10-25,CTD9,,
2017-11-03,CTD1,4.699,2.663
2017-11-03,CTD10,5.97,3.868
