Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Chl
2021-01-05,CTD8,4174178.030118922,693047.7091175154,0.0013813537,0.0044344706,0.008440122,0.0013454568,0.0006986078,0.00017023682,0.00015861852,6.113016e-05,0.0014181354,0.004697541,0.008621433,0.0012734294,0.00072494993,0.00016251816,2.6513551e-05,-1.435e-42,0.7007862675000001
2021-01-05,CTD10,4170388.237872792,695645.9552495586,0.0068511153,0.011318696,0.015089337,0.004602798,0.0034600804,0.0010433195,0.0010324129,0.00042982292,0.006887195,0.011264533,0.014939603,0.0045295097,0.0035300564,0.0010453357,0.09743347,-0.0,0.90284212
2021-01-05,CTD11,4169608.9781368254,700350.5509754587,0.0015658941,0.005340751,0.008947577,0.0010032615,0.0005027125,0.0001223992,0.00011290635,4.326721e-05,0.0015955128,0.005826478,0.009283732,0.00094495795,0.0005263602,0.000117165466,2.8058803e-05,-2.87e-42,0.39395443999999996
2021-01-05,CTD12,4173437.93021035,695413.5305598581,0.0015113835,0.0047028675,0.01121488,0.0026447715,0.0015763552,0.00038855497,0.00037102134,0.00014537625,0.001535413,0.004884554,0.0113196755,0.0025535338,0.0015941766,0.00037898085,2.6744123e-05,-1.435e-42,0.5530722575
2021-04-20,CTD1,4187246.4763657423,695024.7116773892,0.019634653,0.022314668,0.024990598,0.012207419,0.010305185,0.0034939416,0.0033635548,0.001372358,0.019028714,0.02238366,0.024682114,0.011619797,0.01008115,0.0033017383,0.2265364,-0.0,0.61997672
2021-04-20,CTD2,4181518.346026066,693105.1561410306,0.0084852865,0.013437949,0.014677221,0.0030700807,0.0019914024,0.00056291046,0.00055200886,0.00022310963,0.008514678,0.013465799,0.014522359,0.0030153901,0.0021016214,0.0005582947,0.062327065,-0.0,0.8688032112500002
2021-04-20,CTD3,4181698.0921413857,695238.4758410116,0.012343015,0.015661653,0.015068227,0.004712294,0.0033108513,0.0010082165,0.0009879917,0.0004066637,0.012363114,0.015691943,0.014765638,0.004593089,0.0034504212,0.0009905836,0.011425378,-0.0,0.80305364375
2021-04-20,CTD4,4180265.85759629,698264.0657476727,0.025853774,0.030753905,0.035372786,0.012651612,0.009209675,0.0025961418,0.0024406137,0.0009614378,0.025252158,0.030925775,0.035434175,0.012456335,0.009104701,0.0024344926,0.18819237,-0.0,0.6150903212500001
2021-04-20,CTD6,4176008.900458722,695829.0091863506,0.011592465,0.015184122,0.014035561,0.003340544,0.0021947199,0.00063634856,0.00062079006,0.0002517888,0.011658029,0.0152201895,0.013809948,0.003280681,0.0023266235,0.00062988565,0.030688632,-0.0,0.6333371825
2021-04-20,CTD7,4176723.693900513,690396.7024300082,0.0051316456,0.012160317,0.015382231,0.0022638075,0.0012972082,0.00032734277,0.00031510554,0.00012331114,0.005063604,0.012532348,0.015452707,0.0022092077,0.001351505,0.00031770745,0.00046155913,-2.87e-42,1.200846142857143
2021-04-20,CTD8,4174178.030118922,693047.7091175154,0.006596316,0.013886948,0.01658682,0.0026427433,0.00155346,0.0004044948,0.0003919794,0.00015458738,0.006540901,0.014141625,0.01659093,0.0026000834,0.0016390092,0.00039503162,0.011635633,-0.0,0.9932469537499999
2021-04-20,CTD10,4170388.237872792,695645.9552495586,0.0023856212,0.0062968372,0.008161096,0.0009623798,0.00051535515,0.00012871846,0.00012011189,4.6622663e-05,0.0023709321,0.006616513,0.0083263405,0.0009184611,0.000532714,0.00012288461,9.927425e-05,-2.87e-42,0.7308828714285714
2021-04-20,CTD11,4169608.9781368254,700350.5509754587,0.0073836446,0.015141233,0.019846993,0.0035986996,0.002178082,0.00057994545,0.000565008,0.00022365987,0.007339451,0.0153370965,0.019835833,0.0035596404,0.0023170274,0.0005690022,0.029142305,-0.0,0.40924283083333335
2021-04-20,CTD12,4173437.93021035,695413.5305598581,0.009190766,0.012775605,0.0119510675,0.0026764376,0.0017607999,0.0005074303,0.0004968052,0.00020208646,0.009265863,0.012804803,0.011738857,0.0026191345,0.0018548932,0.00050395215,0.03137957,-0.0,0.75738093625
2021-06-14,CTD1,4187246.4763657423,695024.7116773892,0.0050717937,0.01099928,0.020244084,0.00658872,0.004561109,0.0012777974,0.0012517974,0.0005069216,0.005052614,0.011103026,0.02030235,0.006560806,0.0047420985,0.001267003,0.0713121,-0.0,0.3463882833333334
2021-06-14,CTD2,4181518.346026066,693105.1561410306,0.0032313298,0.00781397,0.013295853,0.0025464615,0.0014744807,0.00037333625,0.00035849973,0.00014077812,0.0032053816,0.008004628,0.013356061,0.002480185,0.0015449511,0.00036135898,0.00021460008,-0.0,0.44614036625
2021-06-14,CTD3,4181698.0921413857,695238.4758410116,0.005428331,0.011758351,0.016228942,0.0030533322,0.0017923652,0.00046670382,0.00045097704,0.00017786522,0.005392333,0.011980301,0.016220864,0.0030132828,0.0019061104,0.00045441458,0.0012067944,-0.0,0.58747254625
2021-06-14,CTD4,4180265.85759629,698264.0657476727,0.004504699,0.010156559,0.014431707,0.0025748217,0.0015198246,0.0003894024,0.00037547274,0.00014777432,0.004470978,0.010371997,0.014446797,0.0025253247,0.0015900598,0.0003794295,0.0027384686,-0.0,0.46820949500000003
2021-06-14,CTD6,4176008.900458722,695829.0091863506,0.002041868,0.00576589,0.008495789,0.0011218741,0.0005962532,0.00014625001,0.0001366544,5.2826992e-05,0.0020451879,0.0060835453,0.008687477,0.0010695092,0.0006141452,0.00013956481,3.3708402e-05,-2.87e-42,0.51587200625
2021-06-14,CTD7,4176723.693900513,690396.7024300082,0.0106185,0.020990662,0.029095236,0.0056632194,0.0033311264,0.00090027216,0.0008765981,0.0003454858,0.0105695715,0.021211853,0.02909728,0.0056367503,0.0036385271,0.00087285176,0.028892316,-0.0,1.1744372142857142
2021-06-14,CTD8,4174178.030118922,693047.7091175154,0.006552575,0.015369538,0.025854228,0.006251255,0.0036577797,0.00096922653,0.00094053766,0.00036911023,0.0064913076,0.015736181,0.02585665,0.0062236576,0.0039921757,0.000938614,6.4145264e-05,-0.0,0.55535169
2021-06-14,CTD10,4170388.237872792,695645.9552495586,0.007926029,0.016334338,0.02291556,0.004615868,0.0027041766,0.0007232011,0.00070277974,0.0002771996,0.007880335,0.016571702,0.02288861,0.0045946897,0.002944128,0.0007022887,0.0033386,-0.0,0.8022821571428572
