Date,Buoy,Chl,Turbidez
2017-11-15,CTD6,3.079,9.634
2017-11-15,CTD7,2.927,3.39
2017-11-15,CTD8,2.417,6.488
2017-11-15,CTD9,0.321,10.251
2017-11-22,CTD1,0.904,2.763
2017-11-22,CTD10,1.87,4.224
2017-11-22,CTD11,1.564,4.305
2017-11-22,CTD12,1.634,4.457
2017-11-22,CTD2,2.361,3.174
2017-11-22,CTD3,2.105,3.214
2017-11-22,CTD4,0.609,2.539
2017-11-22,CTD5,0.61,0.67
2017-11-22,CTD6,1.729,4.374
2017-11-22,CTD7,2.738,3.552
2017-11-22,CTD8,2.06,3.944
2017-11-22,CTD9,0.21,1.301
2017-11-28,CTD1,1.438,3.188
2017-11-28,CTD10,2.008,3.801
2017-11-28,CTD11,1.651,4.125
2017-11-28,CTD12,2.13,4.224
2017-11-28,CTD2,2.754,6.475
2017-11-28,CTD3,2.753,7.433
2017-11-28,CTD4,0.981,8.92
2017-11-28,CTD5,0.5,0.63
2017-11-28,CTD6,1.836,5.679
2017-11-28,CTD7,2.281,4.402
2017-11-28,CTD8,2.031,4.378
2017-11-28,CTD9,0.176,0.094
2017-12-05,CTD1,0.592,3.642
2017-12-05,CTD10,1.287,11.565
2017-12-05,CTD11,1.532,8.391
2017-12-05,CTD12,1.383,3.49
2017-12-05,CTD2,1.583,4.119
2017-12-05,CTD3,0.959,5.141
2017-12-05,CTD4,0.745,6.458
2017-12-05,CTD5,0.42,0.38
2017-12-05,CTD6,1.334,3.926
2017-12-05,CTD7,0.947,3.537
2017-12-05,CTD8,0.991,2.851
2017-12-05,CTD9,0.185,0.482
2017-12-13,CTD1,1.099,4.362
2017-12-13,CTD10,1.104,7.965
2017-12-13,CTD11,1.247,6.75
2017-12-13,CTD12,0.583,5.077
2017-12-13,CTD2,1.543,5.745
2017-12-13,CTD3,1.795,6.147
2017-12-13,CTD4,1.48,3.186
2017-12-13,CTD5,0.44,1.0
2017-12-13,CTD6,1.077,4.479
2017-12-13,CTD7,1.487,5.395
2017-12-13,CTD8,0.966,2.699
2017-12-13,CTD9,0.183,4.347
2017-12-18,CTD1,1.237,6.213
2017-12-18,CTD10,1.046,5.905
2017-12-18,CTD11,1.038,7.72
2017-12-18,CTD12,1.183,3.214
2017-12-18,CTD2,2.559,5.88
2017-12-18,CTD3,2.345,4.557
2017-12-18,CTD4,2.006,3.025
2017-12-18,CTD5,2.34,0.63
2017-12-18,CTD6,1.09,3.697
2017-12-18,CTD7,1.02,4.26
2017-12-18,CTD8,0.905,3.44
2017-12-18,CTD9,0.167,1.348
2017-12-26,CTD1,0.71,11.338
2017-12-26,CTD10,1.278,6.787
2017-12-26,CTD11,1.07,5.334
2017-12-26,CTD12,1.553,5.869
2017-12-26,CTD2,1.706,4.078
2017-12-26,CTD3,1.186,3.683
2017-12-26,CTD4,0.619,1.25
2017-12-26,CTD5,0.21,0.31
2017-12-26,CTD6,1.649,3.376
2017-12-26,CTD7,1.177,2.681
2017-12-26,CTD8,1.343,7.108
2017-12-26,CTD9,0.962,12.416
2018-01-02,CTD1,3.243,2.267
2018-01-02,CTD10,3.579,3.549
2018-01-02,CTD11,2.4,3.285
2018-01-02,CTD12,3.826,3.857
2018-01-02,CTD2,2.391,3.12
2018-01-02,CTD3,1.353,2.668
2018-01-02,CTD4,1.633,1.794
2018-01-02,CTD5,0.68,0.45
2018-01-02,CTD6,4.033,4.099
2018-01-02,CTD7,2.036,12.221
2018-01-02,CTD8,3.361,7.292
2018-01-02,CTD9,0.194,10.954
2018-01-09,CTD1,2.122,3.18
2018-01-09,CTD10,1.551,3.185
2018-01-09,CTD11,1.485,2.325
2018-01-09,CTD12,2.41,2.572
2018-01-09,CTD2,3.157,3.1
2018-01-09,CTD3,1.593,6.427
2018-01-09,CTD4,1.128,5.057
2018-01-09,CTD5,0.38,0.72
2018-01-09,CTD6,1.871,3.339
2018-01-09,CTD7,1.321,2.201
2018-01-09,CTD8,1.427,2.424
2018-01-09,CTD9,0.175,0.861
2018-01-17,CTD1,0.784,6.428
2018-01-17,CTD10,1.866,1.958
2018-01-17,CTD11,1.789,5.306
2018-01-17,CTD12,2.356,1.247
2018-01-17,CTD2,1.955,4.463
2018-01-17,CTD3,1.386,5.879
2018-01-17,CTD4,1.281,8.592
2018-01-17,CTD5,0.29,0.16
2018-01-17,CTD6,2.077,3.489
2018-01-17,CTD7,1.166,2.407
2018-01-17,CTD8,1.509,2.765
2018-01-17,CTD9,0.206,1.873
2018-01-24,CTD1,1.882,1.502
2018-01-24,CTD10,1.213,7.678
2018-01-24,CTD11,1.115,8.137
2018-01-24,CTD12,2.233,4.567
2018-01-24,CTD2,3.133,1.454
2018-01-24,CTD3,1.112,1.908
2018-01-24,CTD4,0.85,1.385
2018-01-24,CTD5,0.13,0.51
2018-01-24,CTD6,2.54,2.87
2018-01-24,CTD7,0.898,1.455
2018-01-24,CTD8,1.025,2.286
2018-01-24,CTD9,0.159,3.445
