Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
2018-02-20,CTD1,4187246,695025,0.0015073201,0.0023100253,0.0050561293,0.0038334609,0.003087569,0.0010308886,0.0010453128,0.00042358792,0.001486374,0.002327331,0.0050652907,0.0038032543,0.0032157325,0.0010083831,0.6743049,-1.1e-44
2018-02-20,CTD2,4181518,693105,0.0037507892,0.007294271,0.016253263,0.005065793,0.003404306,0.00093615515,0.0009222757,0.00036955436,0.0037247655,0.0073059625,0.016289027,0.005011898,0.003602021,0.0009205181,0.28621015,-1.1e-44
2018-02-20,CTD3,4181698,695238,0.0052482584,0.009943182,0.021748897,0.0057575125,0.003795291,0.0010234099,0.001001535,0.0004014976,0.0052166316,0.00999019,0.02174455,0.005687395,0.0040639783,0.0010091994,0.28831834,0.0
2018-02-20,CTD4,4180266,698264,0.00625348,0.011490617,0.02208545,0.0053120907,0.0034131827,0.00091105624,0.0008871662,0.00035451524,0.0062273955,0.011531211,0.022022603,0.005260917,0.0036589606,0.00089801295,0.21948203,0.0
2018-02-20,CTD5,4179450,700268,0.014707059,0.024260366,0.03117804,0.003989645,0.002351349,0.0006173029,0.00059136574,0.00023551843,0.014795275,0.024463473,0.031413104,0.0039359992,0.00252724,0.0006177449,0.120390594,0.0
2018-02-20,CTD6,4176009,695829,0.00672674,0.012510154,0.024596913,0.006309636,0.0040680575,0.0010895643,0.0010661328,0.00042412346,0.006695784,0.012587941,0.024532774,0.006279097,0.004363443,0.0010718445,0.24752587,0.0
2018-02-20,CTD7,4176724,690397,0.004526362,0.0089394795,0.020298503,0.005225169,0.0034310026,0.0009297233,0.000912431,0.00036752448,0.0044919373,0.008973133,0.020245116,0.0051528052,0.0036521372,0.0009156761,0.27533412,0.0
2018-02-20,CTD8,4174178,693048,0.0062496536,0.012151569,0.025329811,0.0059797317,0.0038390558,0.0010267273,0.0010056663,0.00039997455,0.006204581,0.01223924,0.025187742,0.005926607,0.0041094683,0.001013701,0.23384713,0.0
2018-02-20,CTD9,4171106,693183,0.014598099,0.02433716,0.049061608,0.023789369,0.01767931,0.005133074,0.0050414153,0.0019505242,0.014496994,0.024746675,0.049045123,0.023174712,0.018427894,0.0049948087,0.5332042,0.0
2018-02-20,CTD10,4170388,695646,0.0072174156,0.013705043,0.02843225,0.00734864,0.0047928616,0.001277152,0.0012475079,0.0004936516,0.0071714846,0.013826435,0.028338289,0.007284446,0.005120662,0.0012558922,0.2646534,0.0
