Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
2016-09-08,CTD9,4171106,693183,0.0056013777,0.014158383,0.041303094,0.023354677,0.019837743,0.0056783142,0.005568493,0.0021314786,0.0055238944,0.014350757,0.042337365,0.023018843,0.019592697,0.00627548,0.34735695,0.0
2016-09-08,CTD10,4170388,695646,0.0076543996,0.015873333,0.034200393,0.018911285,0.01827521,0.005295279,0.0051658764,0.001975265,0.007558162,0.01571405,0.034729794,0.01925595,0.017370882,0.0055920435,0.52731526,0.0
2016-09-08,CTD11,4169609,700351,0.0032953345,0.010462577,0.029907526,0.013265762,0.010435173,0.0027279353,0.00263853,0.0009908008,0.0032525582,0.01102966,0.030502472,0.013238373,0.010338533,0.0028591356,0.05112656,0.0
2016-09-08,CTD12,4173438,695414,0.0025217559,0.007703711,0.02185501,0.0114001,0.009241805,0.0024000402,0.0023268603,0.00088776817,0.0025106687,0.008090173,0.022393327,0.011398126,0.009150586,0.0025457174,0.11626028,0.0
2017-06-30,CTD1,4187246,695025,0.012998979,0.023714881,0.04009008,0.01157814,0.008428933,0.0023177671,0.0022438774,0.0008891755,0.012918136,0.023731774,0.04017214,0.011522852,0.00850755,0.0022659737,0.1871729,0.0
2017-06-30,CTD2,4181518,693105,0.010344898,0.021908024,0.033026017,0.0063730655,0.0037601849,0.0009590406,0.0009291689,0.00035975524,0.010283884,0.022230688,0.03305979,0.0064087403,0.0040040594,0.00094433984,0.037177056,0.0
2017-06-30,CTD3,4181698,695238,0.012636653,0.022597475,0.03019438,0.008838525,0.00560529,0.0015583219,0.0015056677,0.0005972439,0.012609498,0.022743229,0.030220913,0.0088644205,0.0057832464,0.0015105748,0.12648728,0.0
2017-06-30,CTD4,4180266,698264,0.015781468,0.025393894,0.039056577,0.011620693,0.008596373,0.0022860938,0.0021941902,0.0008483579,0.015560841,0.025478693,0.0388966,0.011537174,0.008585862,0.002207603,0.22577903,0.0
2017-06-30,CTD5,4179450,700268,0.027647777,0.037671383,0.043226495,0.009798409,0.006109244,0.0016398729,0.001538154,0.00059536484,0.027629891,0.03760251,0.04365202,0.009749468,0.0063695405,0.0015467786,0.13177827,0.0
2017-06-30,CTD6,4176009,695829,0.0102548925,0.020326069,0.035853725,0.008234767,0.0051314533,0.0012991478,0.0012555101,0.00048341232,0.010199658,0.020544779,0.035592075,0.008211773,0.0055423174,0.0012589133,0.031948138,0.0
